model,target,question_id,scope_id,kw_context,vl_propform,justify,k-shot,repeat_num,q_kw,q_vl,q_lf,expected,response
Qwen,Substitutive,1,1,0,1,1,10,1,pic,outil,Gener,Oui,Non
Qwen,Substitutive,1,1,0,1,1,10,2,pic,outil,Gener,Oui,Non
Qwen,Substitutive,1,1,0,1,1,10,3,pic,outil,Gener,Oui,Non
Qwen,Substitutive,1,1,0,1,1,10,4,pic,outil,Gener,Oui,Non
Qwen,Substitutive,1,1,0,1,1,10,5,pic,outil,Gener,Oui,Non
Qwen,Substitutive,2,1,0,1,1,10,1,terrestre,aérien,Contr,Oui,Oui
Qwen,Substitutive,2,1,0,1,1,10,2,terrestre,aérien,Contr,Oui,Oui
Qwen,Substitutive,2,1,0,1,1,10,3,terrestre,aérien,Contr,Oui,Oui
Qwen,Substitutive,2,1,0,1,1,10,4,terrestre,aérien,Contr,Oui,Oui
Qwen,Substitutive,2,1,0,1,1,10,5,terrestre,aérien,Contr,Oui,Oui
Qwen,Substitutive,3,1,0,1,1,10,1,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Substitutive,3,1,0,1,1,10,2,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Substitutive,3,1,0,1,1,10,3,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Substitutive,3,1,0,1,1,10,4,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Substitutive,3,1,0,1,1,10,5,s’affaiblir,affaiblir,Conv_21,Oui,Non
Qwen,Substitutive,4,1,0,1,1,10,1,creusé,creusé,Conv_21,Oui,Non
Qwen,Substitutive,4,1,0,1,1,10,2,creusé,creusé,Conv_21,Oui,Non
Qwen,Substitutive,4,1,0,1,1,10,3,creusé,creusé,Conv_21,Oui,Non
Qwen,Substitutive,4,1,0,1,1,10,4,creusé,creusé,Conv_21,Oui,Non
Qwen,Substitutive,4,1,0,1,1,10,5,creusé,creusé,Conv_21,Oui,Non
Qwen,Substitutive,5,1,0,1,1,10,1,joyeusement,tristement,Anti,Oui,Non
Qwen,Substitutive,5,1,0,1,1,10,2,joyeusement,tristement,Anti,Oui,Non
Qwen,Substitutive,5,1,0,1,1,10,3,joyeusement,tristement,Anti,Oui,Non
Qwen,Substitutive,5,1,0,1,1,10,4,joyeusement,tristement,Anti,Oui,Non
Qwen,Substitutive,5,1,0,1,1,10,5,joyeusement,tristement,Anti,Oui,Non
Qwen,Substitutive,6,1,0,1,1,10,1,composer,se composer,Conv_21,Oui,Non
Qwen,Substitutive,6,1,0,1,1,10,2,composer,se composer,Conv_21,Oui,Non
Qwen,Substitutive,6,1,0,1,1,10,3,composer,se composer,Conv_21,Oui,Non
Qwen,Substitutive,6,1,0,1,1,10,4,composer,se composer,Conv_21,Oui,Non
Qwen,Substitutive,6,1,0,1,1,10,5,composer,se composer,Conv_21,Oui,Non
Qwen,Substitutive,7,1,0,1,1,10,1,chiotte,tartisses,Syn,Oui,Non
Qwen,Substitutive,7,1,0,1,1,10,2,chiotte,tartisses,Syn,Oui,Non
Qwen,Substitutive,7,1,0,1,1,10,3,chiotte,tartisses,Syn,Oui,Non
Qwen,Substitutive,7,1,0,1,1,10,4,chiotte,tartisses,Syn,Oui,Non
Qwen,Substitutive,7,1,0,1,1,10,5,chiotte,tartisses,Syn,Oui,Non
Qwen,Substitutive,8,1,0,1,1,10,1,coq,oiseau,Gener,Oui,Non
