model,k-shot,target,scope_id,kw_context,vl_propform,Q_type,acc
LLaMA,10,A0,2,0,0,Q_pos,0.835
LLaMA,10,A0,1,0,0,Q_pos,0.773
LLaMA,10,A0,1,0,0,Q_neg,0.607
LLaMA,10,A0,2,0,0,Q_neg,0.565
LLaMA,10,A1,4,0,0,Q_pos,0.72
LLaMA,10,A1,2,0,0,Q_pos,0.634
LLaMA,10,A1,3,0,0,Q_neg,0.634
LLaMA,10,A1,1,0,0,Q_pos,0.627
LLaMA,10,A1,3,0,0,Q_pos,0.602
LLaMA,10,A1,2,0,0,Q_neg,0.531
LLaMA,10,A1,4,0,0,Q_neg,0.464
LLaMA,10,A1,1,0,0,Q_neg,0.372
LLaMA,10,A2,3,0,0,Q_pos,0.61
LLaMA,10,A2,4,0,0,Q_pos,0.6
LLaMA,10,A2,2,0,0,Q_pos,0.561
LLaMA,10,A2,1,0,0,Q_pos,0.512
LLaMA,10,A2,3,0,0,Q_neg,0.5
LLaMA,10,A2,4,0,0,Q_neg,0.5
LLaMA,10,A2,2,0,0,Q_neg,0.432
LLaMA,10,A2,1,0,0,Q_neg,0.346
LLaMA,10,A_dériv_ajout_de_sens,2,0,0,Q_neg,0.778
LLaMA,10,A_dériv_ajout_de_sens,2,0,0,Q_pos,0.707
LLaMA,10,A_dériv_ajout_de_sens,1,0,0,Q_pos,0.63
LLaMA,10,A_dériv_ajout_de_sens,1,0,0,Q_neg,0.395
LLaMA,10,A_dériv_qualificative,3,0,0,Q_neg,0.817
LLaMA,10,A_dériv_qualificative,2,0,0,Q_neg,0.65
LLaMA,10,A_dériv_qualificative,1,0,0,Q_pos,0.59
LLaMA,10,A_dériv_qualificative,2,0,0,Q_pos,0.554
LLaMA,10,A_dériv_qualificative,3,0,0,Q_pos,0.553
LLaMA,10,A_dériv_qualificative,1,0,0,Q_neg,0.475
LLaMA,10,A_i,3,0,0,Q_pos,0.714
LLaMA,10,A_i,1,0,0,Q_pos,0.683
LLaMA,10,A_i,2,0,0,Q_pos,0.679
LLaMA,10,A_i,3,0,0,Q_neg,0.583
LLaMA,10,A_i,2,0,0,Q_neg,0.488
LLaMA,10,A_i,1,0,0,Q_neg,0.41
LLaMA,10,Able1,4,0,0,Q_pos,0.869
LLaMA,10,Able1,5,0,0,Q_pos,0.849
LLaMA,10,Able1,3,0,0,Q_pos,0.845
LLaMA,10,Able1,2,0,0,Q_pos,0.81
LLaMA,10,Able1,1,0,0,Q_pos,0.759
LLaMA,10,Able1,2,0,0,Q_neg,0.47
LLaMA,10,Able1,3,0,0,Q_neg,0.44
LLaMA,10,Able1,1,0,0,Q_neg,0.439
LLaMA,10,Able1,5,0,0,Q_neg,0.427
LLaMA,10,Able1,4,0,0,Q_neg,0.4
LLaMA,10,Able2,5,0,0,Q_pos,0.929
LLaMA,10,Able2,1,0,0,Q_pos,0.906
LLaMA,10,Able2,4,0,0,Q_pos,0.897
LLaMA,10,Able2,3,0,0,Q_pos,0.869
LLaMA,10,Able2,2,0,0,Q_pos,0.859
LLaMA,10,Able2,3,0,0,Q_neg,0.825
LLaMA,10,Able2,2,0,0,Q_neg,0.622
LLaMA,10,Able2,4,0,0,Q_neg,0.585
LLaMA,10,Able2,5,0,0,Q_neg,0.542
LLaMA,10,Able2,1,0,0,Q_neg,0.207
LLaMA,10,Able_i,2,0,0,Q_pos,0.828
LLaMA,10,Able_i,4,0,0,Q_pos,0.773
LLaMA,10,Able_i,3,0,0,Q_pos,0.75
LLaMA,10,Able_i,1,0,0,Q_pos,0.739
LLaMA,10,Able_i,4,0,0,Q_neg,0.632
LLaMA,10,Able_i,2,0,0,Q_neg,0.593
LLaMA,10,Able_i,1,0,0,Q_neg,0.583
LLaMA,10,Able_i,3,0,0,Q_neg,0.488
LLaMA,10,Adv0,2,0,0,Q_pos,0.87
LLaMA,10,Adv0,1,0,0,Q_pos,0.761
LLaMA,10,Adv0,2,0,0,Q_neg,0.756
LLaMA,10,Adv0,1,0,0,Q_neg,0.648
LLaMA,10,Adv1,2,0,0,Q_pos,0.78
LLaMA,10,Adv1,2,0,0,Q_neg,0.639
LLaMA,10,Adv1,1,0,0,Q_pos,0.605
LLaMA,10,Adv1,1,0,0,Q_neg,0.429
LLaMA,10,Anti,3,0,0,Q_neg,0.789
LLaMA,10,Anti,2,0,0,Q_neg,0.778
LLaMA,10,Anti,1,0,0,Q_neg,0.758
LLaMA,10,Anti,2,0,0,Q_pos,0.649
LLaMA,10,Anti,1,0,0,Q_pos,0.624
LLaMA,10,Anti,3,0,0,Q_pos,0.622
LLaMA,10,Bon,3,0,0,Q_neg,0.724
LLaMA,10,Bon,2,0,0,Q_neg,0.643
LLaMA,10,Bon,1,0,0,Q_neg,0.576
LLaMA,10,Bon,3,0,0,Q_pos,0.506
LLaMA,10,Bon,1,0,0,Q_pos,0.447
LLaMA,10,Bon,2,0,0,Q_pos,0.442
LLaMA,10,Cap,2,0,0,Q_pos,0.818
LLaMA,10,Cap,1,0,0,Q_pos,0.816
LLaMA,10,Cap,3,0,0,Q_pos,0.814
LLaMA,10,Cap,3,0,0,Q_neg,0.756
LLaMA,10,Cap,2,0,0,Q_neg,0.739
LLaMA,10,Cap,1,0,0,Q_neg,0.736
