model,target,question_id,scope_id,kw_context,vl_propform,justify,k-shot,repeat_num,q_kw,q_vl,q_lf,expected,response
meta-llama,Substitutive,1,1,0,1,1,10,1,pic,outil,Gener,Oui,Non
meta-llama,Substitutive,1,1,0,1,1,10,2,pic,outil,Gener,Oui,Oui
meta-llama,Substitutive,1,1,0,1,1,10,3,pic,outil,Gener,Oui,Oui
meta-llama,Substitutive,1,1,0,1,1,10,4,pic,outil,Gener,Oui,Oui
meta-llama,Substitutive,2,1,0,1,1,10,1,terrestre,aérien,Contr,Oui,Non
meta-llama,Substitutive,2,1,0,1,1,10,3,terrestre,aérien,Contr,Oui,Oui
meta-llama,Substitutive,2,1,0,1,1,10,4,terrestre,aérien,Contr,Oui,Oui
meta-llama,Substitutive,3,1,0,1,1,10,1,s’affaiblir,affaiblir,Conv_21,Oui,Non
meta-llama,Substitutive,3,1,0,1,1,10,3,s’affaiblir,affaiblir,Conv_21,Oui,Oui
meta-llama,Substitutive,3,1,0,1,1,10,4,s’affaiblir,affaiblir,Conv_21,Oui,Oui
meta-llama,Substitutive,4,1,0,1,1,10,1,creusé,creusé,Conv_21,Oui,Oui
meta-llama,Substitutive,4,1,0,1,1,10,2,creusé,creusé,Conv_21,Oui,Oui
meta-llama,Substitutive,4,1,0,1,1,10,3,creusé,creusé,Conv_21,Oui,Oui
meta-llama,Substitutive,4,1,0,1,1,10,4,creusé,creusé,Conv_21,Oui,Oui
meta-llama,Substitutive,5,1,0,1,1,10,1,joyeusement,tristement,Anti,Oui,Non
meta-llama,Substitutive,5,1,0,1,1,10,3,joyeusement,tristement,Anti,Oui,Non
meta-llama,Substitutive,5,1,0,1,1,10,4,joyeusement,tristement,Anti,Oui,Non
meta-llama,Substitutive,6,1,0,1,1,10,1,composer,se composer,Conv_21,Oui,Non
meta-llama,Substitutive,6,1,0,1,1,10,2,composer,se composer,Conv_21,Oui,Oui
meta-llama,Substitutive,6,1,0,1,1,10,3,composer,se composer,Conv_21,Oui,Oui
meta-llama,Substitutive,6,1,0,1,1,10,4,composer,se composer,Conv_21,Oui,Oui
meta-llama,Substitutive,7,1,0,1,1,10,1,chiotte,tartisses,Syn,Oui,Non
meta-llama,Substitutive,7,1,0,1,1,10,3,chiotte,tartisses,Syn,Oui,Oui
meta-llama,Substitutive,7,1,0,1,1,10,4,chiotte,tartisses,Syn,Oui,Oui
meta-llama,Substitutive,8,1,0,1,1,10,1,coq,oiseau,Gener,Oui,Non
meta-llama,Substitutive,8,1,0,1,1,10,3,coq,oiseau,Gener,Oui,Oui
meta-llama,Substitutive,8,1,0,1,1,10,4,coq,oiseau,Gener,Oui,Oui
meta-llama,Substitutive,9,1,0,1,1,10,1,prêter,emprunter,Conv_321,Oui,Non
meta-llama,Substitutive,9,1,0,1,1,10,3,prêter,emprunter,Conv_321,Oui,Oui
meta-llama,Substitutive,9,1,0,1,1,10,4,prêter,emprunter,Conv_321,Oui,Oui
