model,target,question_id,scope_id,kw_context,vl_propform,justify,k-shot,repeat_num,q_kw,q_vl,q_lf,expected,response
mistralai,Substitutive,1,1,0,1,1,10,1,pic,outil,Gener,Oui,Oui
mistralai,Substitutive,3,1,0,1,1,10,1,s’affaiblir,affaiblir,Conv_21,Oui,Oui
mistralai,Substitutive,4,1,0,1,1,10,1,creusé,creusé,Conv_21,Oui,Oui
mistralai,Substitutive,5,1,0,1,1,10,1,joyeusement,tristement,Anti,Oui,Oui
mistralai,Substitutive,6,1,0,1,1,10,1,composer,se composer,Conv_21,Oui,Oui
mistralai,Substitutive,7,1,0,1,1,10,1,chiotte,tartisses,Syn,Oui,Oui
mistralai,Substitutive,8,1,0,1,1,10,1,coq,oiseau,Gener,Oui,Oui
mistralai,Substitutive,9,1,0,1,1,10,1,prêter,emprunter,Conv_321,Oui,Oui
mistralai,Substitutive,11,1,0,1,1,10,1,vexer,se vexer,Result_2,Non,Oui
mistralai,Substitutive,12,1,0,1,1,10,1,antérieur,antérieurement,Adv_0,Non,Oui
mistralai,Substitutive,14,1,0,1,1,10,1,avalanche,en avalanche,Adv_1,Non,Oui
mistralai,Substitutive,16,1,0,1,1,10,1,courage,courageusement,Adv_1,Non,Oui
mistralai,Substitutive,18,1,0,1,1,10,1,critique,critique,S_res,Non,Oui
mistralai,Subst_sens_similaire,1,1,0,1,1,10,1,s’affaiblir,affaiblir,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,1,1,0,1,1,10,2,s’affaiblir,affaiblir,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,1,1,0,1,1,10,4,s’affaiblir,affaiblir,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,1,1,0,1,1,10,5,s’affaiblir,affaiblir,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,2,1,0,1,1,10,1,inquiéter,s’inquiéter,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,4,1,0,1,1,10,1,bock,boisson alcoolisée,Gener,Oui,Oui
mistralai,Subst_sens_similaire,4,1,0,1,1,10,2,bock,boisson alcoolisée,Gener,Oui,Oui
mistralai,Subst_sens_similaire,5,1,0,1,1,10,1,pelouse,terrain,Gener,Oui,Oui
mistralai,Subst_sens_similaire,7,1,0,1,1,10,1,se composer,composer,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,9,1,0,1,1,10,1,pinard,boisson,Gener,Oui,Oui
mistralai,Subst_sens_similaire,10,1,0,1,1,10,1,popotin,derche,Syn,Oui,Oui
mistralai,Subst_sens_similaire,11,1,0,1,1,10,1,désapprouver,approuver,Anti,Non,Oui
mistralai,Subst_sens_similaire,11,1,0,1,1,10,2,désapprouver,approuver,Anti,Non,Oui
mistralai,Subst_sens_similaire,13,1,0,1,1,10,1,mains propres,mains sales,Anti,Non,Oui
mistralai,Subst_sens_similaire,15,1,0,1,1,10,1,efficacité,inefficacité,Anti,Non,Oui
mistralai,Subst_sens_similaire,18,1,0,1,1,10,1,intégration verticale,intégration horizontale,Contr,Non,Oui
mistralai,Subst_sens_similaire,19,1,0,1,1,10,1,perdre,gagner,Anti,Non,Oui
mistralai,Subst_sens_similaire,20,1,0,1,1,10,1,fermé,ouvert,Anti,Non,Oui
mistralai,Subst_sens_similaire,21,2,0,1,1,10,1,s’affaiblir,affaiblir,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,21,2,0,1,1,10,2,s’affaiblir,affaiblir,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,21,2,0,1,1,10,5,s’affaiblir,affaiblir,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,22,2,0,1,1,10,1,inquiéter,s’inquiéter,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,24,2,0,1,1,10,1,bock,boisson alcoolisée,Gener,Oui,Oui
mistralai,Subst_sens_similaire,25,2,0,1,1,10,1,pelouse,terrain,Gener,Oui,Oui
mistralai,Subst_sens_similaire,26,2,0,1,1,10,1,revenir,se rappeler,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,27,2,0,1,1,10,1,se composer,composer,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,27,2,0,1,1,10,2,se composer,composer,Conv_21,Oui,Oui
mistralai,Subst_sens_similaire,28,2,0,1,1,10,1,vécés,wawa,Syn,Oui,Oui
mistralai,Subst_sens_similaire,29,2,0,1,1,10,1,pinard,boisson,Gener,Oui,Oui
mistralai,Subst_sens_similaire,30,2,0,1,1,10,1,popotin,derche,Syn,Oui,Oui
mistralai,Subst_sens_similaire,31,2,0,1,1,10,1,coudre,machine à coudre,S_instr,Non,Oui
mistralai,Subst_sens_similaire,31,2,0,1,1,10,2,coudre,machine à coudre,S_instr,Non,Oui
mistralai,Subst_sens_similaire,31,2,0,1,1,10,5,coudre,machine à coudre,S_instr,Non,Oui
mistralai,Subst_sens_similaire,32,2,0,1,1,10,1,cailler,cailler,Result_2,Non,Oui
